Equipped Gear Piece,,,,,,,,,,,,,,,,Modifier Bonuses,,,,,,,,,,,,,,,,,
No.,Slot,Gear Item,Talent,Category,,NinjaBike Backpack,,,,,,,,,,,,Conditional Formatting,OK,,,,,,,,,,,,,,
24,Richter & Kaiser GmbH,Forge,,,0,Richter & Kaiser GmbH0,,,7,Reload Speed,20%,0%,0%,,,,,,,,,,,,,,,,,,,,
25,Wyvern Wear,Claws Out,,,0,Wyvern Wear0,,,8,Optimal Range,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
26,Habsburg Guard,Cherished,The Courier,,0,Habsburg Guard0,,,9,Rate of Fire,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
27,Electrique,Henri,Lavoisier,Snow Machine,0,Electrique0,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Lengmo,Carpenter,Backbone,,0,Lengmo0,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Palisade Steelworks,Combustor,Proxy,,0,Palisade Steelworks0,,,10,Weapon Handling,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
30,Zwiadowka Sp. z o.o.,Bober,Eagle’s Grasp,,0,Zwiadowka Sp. z o.o.0,,,11,Extra Rounds,0,15,0,,,,,,,,,,,,,,,,,,,,
31,Legatus S.p.A.,Vigil,Visionario,,0,Legatus S.p.A.0,,,12,Melee Damage,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
32,Shiny Monkey,Axel,Grease,,0,Shiny Monkey0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Imminence Armaments,Cap'n,Cloak,,0,Imminence Armaments0,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Urban Lookout,Sleight,Spot-on,,0,Urban Lookout0,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,True Patriot,,,,0,True Patriot0,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Ongoing Directive,,,,0,Ongoing Directive0,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Hard Wired,,,,0,Hard Wired0,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Negotiator's Dilemma,,,,0,Negotiator's Dilemma0,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Tip of the Spear,,,,0,Tip of the Spear0,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Aces & Eights,,,,0,Aces & Eights0,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Striker's Battlegear,,,,0,Striker's Battlegear0,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,System Corruption,,,,0,System Corruption0,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Eclipse Protocol,,,,0,Eclipse Protocol0,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Future Initiative,,,,0,Future Initiative0,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Foundry Bulwark,,,,0,Foundry Bulwark0,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Hunter's Fury,,,,0,Hunter's Fury0,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Rigger,,,,0,Rigger0,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Umbra Initiative,,,,0,Umbra Initiative0,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Heartbreaker,,,,0,Heartbreaker0,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Hotshot,,,,0,Hotshot0,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,The Cavalier,,,,0,The Cavalier0,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Aegis,,,,0,Aegis0,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Ortiz: Exuro,,,,0,Ortiz: Exuro0,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Breaking Point,,,,0,Breaking Point0,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Virtuoso,,,,0,Virtuoso0,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Refactor,,,,0,Refactor0,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Measured Assembly,,,,0,Measured Assembly0,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Tipping Scales,,,,0,Tipping Scales0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set bonus + Named Attributes,,,Total Attributes Value ​​from Equipped Gear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,Attribute Type,Bonus Value,Attribute Type,Bonus Value,Number of Attribute,Attribute's Max Roll,,,Weapon Type Damage Bonus Conversion,,,,,,,,,,,,,,,,,,,,,,,,
1,Critical Hit Chance,0.0%,Armor,"1,020,000",6,"170,000",,,No.,Stats,Primary Weapon,Secondary Weapon,Sidearm,,,,,,,,,,,,,,,,,,,,
2,Critical Hit Damage,0.0%,Skill Tier,0,0,1,,,1,AR Damage,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
3,Headshot Damage,0.0%,Critical Hit Chance,30.0%,5,6%,,,2,LMG Damage,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
4,Weapon Damage,5.0%,Critical Hit Damage,84.0%,7,12%,,,3,Shotgun Damage,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
5,Assault Rifle Damage,0.0%,Headshot Damage,0.0%,0,10%,,,4,SMG Damage,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
6,LMG Damage,0.0%,Weapon Damage,0.0%,0,15%,,,5,Rifle Damage,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
7,Shotgun Damage,0.0%,Weapon Handling,0.0%,0,8%,,,6,MMR Damage,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
8,SMG Damage,0.0%,Skill Haste,0.0%,0,12%,,,7,Pistol Damage,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
9,Rifle Damage,0.0%,Skill Damage,0.0%,0,10%,,,8,Weapon Damage,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
10,MMR Damage,0.0%,Repair Skills,0.0%,0,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Pistol Damage,0.0%,Skill Duration,0.0%,0,10%,,,Weapon Stats with Mods,,,,,,,,,,,,,,,,,,,,,,,,
12,Signature Weapon Damage,0.0%,Status Effects,0.0%,0,10%,,,No.,Attribute Type,Primary Weapon,Secondary Weapon,Sidearm,,,,,,,,,,,,,,,,,,,,
13,Health Damage,0.0%,Hazard Protection,0.0%,0,10%,,,1,Weapon Damage,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
14,Damage to Armor,0.0%,Explosive Resistance,0.0%,0,10%,,,2,Skill Tier,,,,,,,,,,,,,,,,,,,,,,,
15,Accuracy,0.0%,Armor Regen HP/s,"9,850",2,"4,925 ",,,3,Critical Hit Chance,0%,36%,0%,,,,,,,,,,,,,,,,,,,,
16,Stability,0.0%,Health,"270,000",0,"18,935",,,4,Critical Hit Damage,10%,0%,0%,,,,,,,,,,,,,,,,,,,,
17,Reload Speed,0.0%,Protection from Elites,0.0%,0,13%,,,5,Headshot Damage,40%,0%,0%,,,,,,,,,,,,,,,,,,,,
18,Weapon Handling,0.0%,Incoming Repairs,20.0%,1,20%,,,6,Health Damage,21%,0%,0%,,,,,,,,,,,,,,,,,,,,
19,Ammo Capacity,0.0%,Burn Resistance,0.0%,0,10%,,,7,Damage to Armor,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
20,Magazine Size,0.0%,Bleed Resistance,0.0%,0,10%,,,8,Accuracy,20%,0%,0%,,,,,,,,,,,,,,,,,,,,
21,Rate of Fire,0.0%,Ensnare Resistance,0.0%,0,10%,,,9,Stability,20%,0%,0%,,,,,,,,,,,,,,,,,,,,
22,Skill Tier,0,Disrupt Resistance,0.0%,0,10%,,,10,Reload Speed,20%,0%,0%,,,,,,,,,,,,,,,,,,,,
23,Skill Haste,0.0%,Blind/Deaf Resistance,0.0%,0,10%,,,11,Weapon Handling,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
24,Skill Damage,0.0%,Shock Resistance,0.0%,0,10%,,,12,Magazine Size %,,,,,,,,,,,,,,,,,,,,,,,
25,Repair Skills,0.0%,Disorient Resistance,0.0%,0,10%,,,13,Rate of Fire,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
26,Skill Duration,0.0%,Pulse Resistance,0.0%,0,10%,,,14,Armor on Kill,,,,,,,,,,,,,,,,,,,,,,,
27,Status Effects,10.0%,Armor on Kill,0,0,"18,935",,,15,DMG Out of Cover,0%,10%,10%,,,,,,,,,,,,,,,,,,,,
28,Skill Health,0.0%,Health on Kill,30.0%,0,30%,,,16,Melee Damage,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
29,Skill Efficiency,0.0%,Rate of Fire,0.0%,0,5%,,,17,Magazine Size (Value),0,15,0,,,,,,,,,,,,,,,,,,,,
30,Explosives Damage,0.0%,,,,,,,18,Optimal Range,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
31,Shield Health,0.0%,,,,,,,19,Swap Speed,,,,,,,,,,,,,,,,,,,,,,,
32,Health,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Hazard Protection,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Total Armor,10.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Explosive Resistance,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Incoming Repairs,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Armor Regen,2.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Armor on Kill,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Health on Kill,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Disrupt Resistance,0.0%,,,,,,,The Ravenous Defensive Primers Amplified Armor Plate Damage Calculation,,,,,,,,,,,,,,,,,,,,,,,,
41,Pulse Resistance,0.0%,,,,,,,Shots,Defensive Primers,Amplified DMG,Calculations,,,,,,,,,,,,,,,,,,,,,
42,Swap Speed,0%,,,,,,,1,2,20%,20%,,,,,,,,,,,,,,,,,,,,,
43,Optimal Range,0%,,,,,,,2,4,40%,40%,,,,,,,,,,,,,,,,,,,,,
44,Shock Resistance,0%,,,,,,,3,6,60%,60%,,,,,,,,,,,,,,,,,,,,,
45,DMG Out of Cover,0.0%,,,,,,,4,8,80%,80%,,,,,,,,,,,,,,,,,,,,,
46,Melee Damage,0%,,,,,,,5,10,200%,200%,,,,,,,,,,,,,,,,,,,,,
,,,,THESE AREN'T DOING ANYTHING?,,,,,6,11,230%,230%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,7,13,290%,290%,,,,,,,,,,,,,,,,,,,,,
Set Bonus + Named Attr + Sum of Minor Attr + SHD Watch,,,SHD Watch,Specialization Tree,,,,,8,15,350%,350%,,,,,,,,,,,,,,,,,,,,,
No.,Attribute Type,Total Value,Maximum Value,Maximum Value,Specialization,Type / Compatibility,,,9,17,410%,410%,,,,,,,,,,,,,,,,,,,,,
1,Weapon Damage,15.0%,10%,,,,,,10,19,470%,470%,,,,,,,,,,,,,,,,,,,,,
2,Armor,"1,020,000",,,,,,,11,21,890%,890%,,,,,,,,,,,,,,,,,,,,,
3,Skill Tier,0,,1,Technician,Tree Bonus,,,"Defensive Primers are additive to each other until they are detonated. The final sum of the stacks from separate detonations are multiplicative to one another. At every 10th stack, Primers effectiveness gets doubled from 10% to 20%.",,,,,,,,,,,,,,,,,,,,,,,,
4,Critical Hit Chance,40.0%,10%,7%,Demolitionist,Mod,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Critical Hit Damage,104.0%,20%,10%,Firewall,Mod,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Headshot Damage,20.0%,20%,15%,Sharpshooter,Rifles and MMRs,,,"During shoulder swapping to detonate primers, the Ravenous uses the first bullet to detonate the primers and the second bullet to apply one stack of the opposite primer. That is why the 6th shot has 11 stacks and the 11th has 21.",,,,,,,,,,,,,,,,,,,,,,,,
7,Assault Rifle Damage,0.0%,,15%,All,Tree Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,LMG Damage,0.0%,,15%,All,Tree Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Shotgun Damage,0.0%,,15%,All,Tree Bonus,,,Max Meter Calculations (10 Primers Per Shoulder Swap),,,,,,,,,,,,,,,,,,,,,,,,
10,SMG Damage,0.0%,,15%,All,Tree Bonus,,,Shots,Defensive Primers,Amplified DMG,Calculations,,,,,,,,,,,,,,,,,,,,,
11,Rifle Damage,0.0%,,15%,All,Tree Bonus,,,5,10,200%,200%,,,,,,,,,,,,,,,,,,,,,
12,MMR Damage,0.0%,,15%,All,Tree Bonus,,,10,20,800%,800%,,,,,,,,,,,,,,,,,,,,,
13,Pistol Damage,0.0%,,15%,All,Tree Bonus,,,15,30,2600%,2600%,,,,,,,,,,,,,,,,,,,,,
14,Signature Weapon Damage,0.0%,,40%,All,Tree Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Health Damage,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Damage to Armor,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Accuracy,10.0%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Stability,10.0%,10%,15%,Sharpshooter,Tree Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Reload Speed,10.0%,10%,50%,Gunner,Every 3rd Reload,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Weapon Handling,0.0%,,10%,Gunner,Stand in Place for 1 sec,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Ammo Capacity,0.0%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Magazine Size,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Rate of Fire,0.0%,,5%,Gunner,After a Kill for 5 sec,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Skill Haste,10.0%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Skill Damage,10.0%,10%,10%,Technician,Tree Bonus,,Temporary Work Around for Perpetuation,,,,,,,,,,,,,,,,,,,,,,,,,
26,Repair Skills,10.0%,10%,10%,Technician,Tree Bonus,,Primary Weapon Talent,,Big Game Hunter,0%,,,,,,,,,,,,,,,,,,,,,,
27,Skill Duration,20.0%,20%,,,,,Secondary Weapon Talent,,Streamline,0%,,,,,,,,,,,,,,,,,,,,,,
28,Status Effects,10.0%,,20%,Firewall,Burn Duration Only,,Sidearm Weapon Talent,,Unselected,0%,,,,,,,,,,,,,,,,,,,,,,
29,Skill Health,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Skill Efficiency,0.0%,,,,,,Temporary Work Around for Outsider,,,Optimal Range,Accuracy,,,,,,,,,,,,,,,,,,,,,
31,Explosives Damage,0.0%,,10%,Demolitionist,Tree Bonus,,Primary Weapon Talent,,Big Game Hunter,0%,0%,,,,,,,,,,,,,,,,,,,,,
32,Shield Health,0.0%,,8%,Firewall,Mod,,Secondary Weapon Talent,,Streamline,0%,0%,,,,,,,,,,,,,,,,,,,,,
33,Health %,10.0%,10%,,,,,Sidearm Weapon Talent,,Unselected,0%,0%,,,,,,,,,,,,,,,,,,,,,
34,Health (Value),"330,000","60,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Hazard Protection,10.0%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Total Armor,20.0%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Explosive Resistance,10.0%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Incoming Repairs,20.0%,,15%,Survivalist,Outgoing Healing,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Armor Regen,2.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Armor Regen HP,"9,850",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Armor on Kill,0.0%,,10%,Gunner,Tree Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Armor on Kill (Value),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Health on Kill,30%,,30%,Firewall,Tree Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Disrupt Resistance,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Pulse Resistance,0.0%,,50%,All,Tree Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,DMG Out of Cover,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Protection from Elites,0.0%,,10%,Survivalist,Tree Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Incoming Repairs,20.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Burn Resistance,0.0%,,20%,Demolitionist,Tree Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Bleed Resistance,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Ensnare Resistance,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Disorient Resistance,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Blind/Deaf Resistance,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Shock Resistance,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Melee Damage,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon + Gear Talents Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,Attribute Type,Primary Weapon,Secondary Weapon,Sidearm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Weapon Damage,45%,87%,45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Skill Tier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Critical Hit Chance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Critical Hit Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Headshot Damage,150%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Reload Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Weapon Handling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Magazine Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Rate of Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Skill Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Skill Efficiency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Armor Regen,,,,,,,,Specialization Tree Bonuses (assumes weapon damage nodes for weapons equipped are activated on the tree),,,,Focus Scope Check,,,,,,,,,,,,,,,,,,,,
13,Damage Out of Cover,,,,,,,,,,,,Primary,Secondary,,,,,,,,,,,,,,,,,,,
14,Amplified Weapon Damage,148%,148%,148%,,,,,1,Assault Rifle Damage,15%,,NO,NO,,,,,,,,,,,,,,,,,,,
15,Total Weapon Damage,100%,100%,100%,,,,,2,LMG Damage,0%,,,,,,,,,,,,,,,,,,,,,,
16,Amplified Damage,100%,100%,100%,,,,,3,Shotgun Damage,0%,,,,,,,,,,,,,,,,,,,,,,
17,Repair Skills,,,,,,,,4,SMG Damage,15%,,,,,,,,,,,,,,,,,,,,,,
18,Total Skill Repair,,,,,,,,5,Rifle Damage,0%,,,,,,,,,,,,,,,,,,,,,,
19,% Damage [Skill Tier],,,,,,,,6,MMR Damage,0%,,,,,,,,,,,,,,,,,,,,,,
20,Amplified Skill Damage,100%,100%,100%,,,,,7,Pistol Damage,15%,,,,,,,,,,,,,,,,,,,,,,
21,Total Skill Damage,100%,100%,100%,,,,,8,Signature Weapon Damage,40%,,,,,,,,,,,,,,,,,,,,,,
22,Melee Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon Type Headshot Damage Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,Attribute Type,Primary Weapon,Secondary Weapon,Sidearm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Headshot Damage,55%,50%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
